          29          21
    0.2523124404E-01    0.9514188394E-02   -0.6323733926E-01
    0.2516988665E-01    0.1178858336E-01   -0.6301742047E-01
    0.2512525953E-01    0.1406286098E-01   -0.6278525293E-01
    0.2512517571E-01    0.1633098722E-01   -0.6251862645E-01
    0.2514436096E-01    0.1859660074E-01   -0.6224329025E-01
    0.2520516329E-01    0.2085429244E-01   -0.6194398552E-01
    0.2530763298E-01    0.2310583740E-01   -0.6161364913E-01
    0.2541993186E-01    0.2535310201E-01   -0.6126720458E-01
    0.2557462640E-01    0.2758885175E-01   -0.6089142337E-01
    0.2574020065E-01    0.2982091345E-01   -0.6050915644E-01
    0.2595241368E-01    0.3204026818E-01   -0.6010756642E-01
    0.2617887780E-01    0.3425415233E-01   -0.5969785899E-01
    0.2642927691E-01    0.3646077216E-01   -0.5926440656E-01
    0.2669754624E-01    0.3865831718E-01   -0.5880801007E-01
    0.2699037269E-01    0.4084501043E-01   -0.5835223570E-01
    0.2731285989E-01    0.4302026331E-01   -0.5787621439E-01
    0.2764446661E-01    0.4518887773E-01   -0.5739298835E-01
    0.2803293243E-01    0.4733946547E-01   -0.5687111616E-01
    0.2842796221E-01    0.4947985709E-01   -0.5634390563E-01
    0.2885042131E-01    0.5160345137E-01   -0.5580307543E-01
    0.2928265370E-01    0.5372283235E-01   -0.5525304750E-01
    0.2974200621E-01    0.5582726374E-01   -0.5467985943E-01
    0.3022350930E-01    0.5792149901E-01   -0.5411857367E-01
    0.3067523055E-01    0.5993341282E-01   -0.5357041210E-01
    0.3108724765E-01    0.6159345806E-01   -0.5309075490E-01
    0.1904657111E-01    0.4328317009E-03   -0.5528791994E-01
    0.1909381151E-01    0.2699079691E-02   -0.5522584170E-01
    0.1901082695E-01    0.4979182035E-02   -0.5511222035E-01
    0.1894188486E-01    0.7261579856E-02   -0.5499093607E-01
    0.1892248541E-01    0.9540817700E-02   -0.5483790115E-01
    0.1891875453E-01    0.1181934122E-01   -0.5467469245E-01
    0.1895192824E-01    0.1409472525E-01   -0.5448991805E-01
    0.1901701465E-01    0.1636579260E-01   -0.5428800732E-01
    0.1910442486E-01    0.1863433234E-01   -0.5407602713E-01
    0.1923874021E-01    0.2089432627E-01   -0.5384483933E-01
    0.1938470826E-01    0.2315302193E-01   -0.5360681191E-01
    0.1957392320E-01    0.2540079504E-01   -0.5333220586E-01
    0.1977719739E-01    0.2764486149E-01   -0.5305452645E-01
    0.2001510002E-01    0.2987863868E-01   -0.5275329202E-01
    0.2028020471E-01    0.3210510686E-01   -0.5245229974E-01
    0.2057594806E-01    0.3432071209E-01   -0.5213445425E-01
    0.2091141790E-01    0.3652721271E-01   -0.5178707093E-01
    0.2126080543E-01    0.3872406483E-01   -0.5141747370E-01
    0.2164445631E-01    0.4090647027E-01   -0.5104858801E-01
    0.2204907313E-01    0.4307983071E-01   -0.5066753924E-01
    0.2248127013E-01    0.4524235800E-01   -0.5027214810E-01
    0.2292769961E-01    0.4739944264E-01   -0.4986856505E-01
    0.2340142056E-01    0.4953974485E-01   -0.4944872484E-01
    0.2389017120E-01    0.5166923255E-01   -0.4902957752E-01
    0.2440004982E-01    0.5378794670E-01   -0.4858989641E-01
    0.2492668480E-01    0.5589883775E-01   -0.4814065248E-01
    0.2548867650E-01    0.5799418688E-01   -0.4770030081E-01
    0.2603492886E-01    0.5999645591E-01   -0.4725069925E-01
    0.2649627067E-01    0.6166359782E-01   -0.4687733203E-01
    0.1329857763E-01    0.4325147602E-03   -0.4606419802E-01
    0.1334492676E-01    0.2697557211E-02   -0.4611102492E-01
    0.1331351418E-01    0.4972188268E-02   -0.4605277628E-01
    0.1329744980E-01    0.7249718066E-02   -0.4598767310E-01
    0.1333066355E-01    0.9524099529E-02   -0.4589657858E-01
    0.1337538473E-01    0.1179897413E-01   -0.4580270126E-01
    0.1347405463E-01    0.1406769548E-01   -0.4568060115E-01
    0.1358435955E-01    0.1633511856E-01   -0.4555663094E-01
    0.1374141034E-01    0.1859579049E-01   -0.4541234300E-01
    0.1392185688E-01    0.2085275017E-01   -0.4527078941E-01
    0.1414193027E-01    0.2310238779E-01   -0.4510647058E-01
    0.1437721588E-01    0.2534711920E-01   -0.4492549226E-01
    0.1464601699E-01    0.2758276835E-01   -0.4473143443E-01
    0.1494286675E-01    0.2981169336E-01   -0.4452430084E-01
    0.1527226530E-01    0.3203093633E-01   -0.4431753978E-01
    0.1562891342E-01    0.3424111009E-01   -0.4409981146E-01
    0.1600817405E-01    0.3644520044E-01   -0.4386584833E-01
    0.1641060784E-01    0.3863963112E-01   -0.4360648990E-01
    0.1684183255E-01    0.4082201794E-01   -0.4335695133E-01
    0.1730186306E-01    0.4299234971E-01   -0.4309117049E-01
    0.1777837798E-01    0.4515486211E-01   -0.4281928763E-01
    0.1828401349E-01    0.4730954394E-01   -0.4253466800E-01
    0.1880741678E-01    0.4944922030E-01   -0.4224168882E-01
    0.1935856603E-01    0.5157628655E-01   -0.4194781929E-01
    0.1992985420E-01    0.5369197577E-01   -0.4163329303E-01
    0.2052457258E-01    0.5579628050E-01   -0.4130541533E-01
